match_id,my_team,team1_gold,team2_gold,gold_diff,gold_leading_team,my_team_ahead_gold,team1_kills,team2_kills,kill_diff,kill_leading_team,my_team_ahead_kills,tower_fb,drake_fb,herald_fb,my_team_win,winner
LA1_1718960055,200,18076,16664,-1412,100,False,5,5,0,0,False,200.0,200.0,100,False,100
LA1_1719553974,200,17999,17617,-382,100,False,8,7,-1,100,True,200.0,200.0,200,False,100
LA1_1719542310,100,17599,17068,531,100,True,5,6,-1,200,False,200.0,100.0,100,False,200
LA1_1719767244,200,17106,18752,1646,200,True,5,6,1,200,False,100.0,200.0,200,True,200
LA1_1719754013,200,17395,17507,112,200,True,7,8,1,200,False,200.0,200.0,200,True,200
LA1_1719771654,200,16173,17518,1345,200,True,5,4,-1,100,True,100.0,200.0,200,True,200
LA1_1719763068,200,15502,17623,2121,200,True,2,7,5,200,False,100.0,200.0,200,True,200
LA1_1719821917,100,17412,17963,-551,200,False,3,7,-4,200,False,200.0,200.0,200,True,100
LA1_1719604086,200,16353,17975,1622,200,True,6,9,3,200,False,100.0,100.0,200,True,200
LA1_1718479632,200,15885,18014,2129,200,True,4,9,5,200,False,100.0,100.0,100,True,200
LA1_1718841683,100,16419,20004,-3585,200,False,4,10,-6,200,False,100.0,200.0,200,False,200
LA1_1719641489,100,17446,16601,845,100,True,4,4,0,0,False,200.0,100.0,200,True,100
LA1_1719630432,200,21150,14634,-6516,100,False,11,2,-9,100,True,200.0,100.0,100,False,100
LA1_1719764590,200,16187,16249,62,200,True,3,5,2,200,False,200.0,100.0,200,True,200
LA1_1717415061,200,18719,15900,-2819,100,False,7,2,-5,100,True,200.0,100.0,100,False,100
LA1_1717904873,100,18627,18364,263,100,True,9,7,2,100,True,200.0,200.0,100,True,100
LA1_1717911130,200,17072,16587,-485,100,False,4,5,1,200,False,200.0,200.0,100,True,200
LA1_1717900783,200,18150,19112,962,200,True,7,9,2,200,False,200.0,200.0,300,True,200
LA1_1717916513,100,17885,18191,-306,200,False,5,6,-1,200,False,200.0,100.0,100,False,200
LA1_1718861967,100,17806,15225,2581,100,True,4,0,4,100,True,200.0,200.0,200.0,True,100
LA1_1719271930,100,20691,15642,5049,100,True,13,3,10,100,True,200.0,100.0,,True,100
LA1_1719274968,200,18298,20023,1725,200,True,9,12,3,200,False,100.0,100.0,100.0,True,200
LA1_1718849962,200,19184,16354,-2830,100,False,8,3,-5,100,True,200.0,200.0,100.0,False,100
LA1_1719760803,200,17056,17456,400,200,True,5,6,1,200,False,100.0,200.0,200,True,200
