gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
728,4,1,1,0,False
634,1,0,1,1,True
887,0,0,0,0,True
-1861,-4,1,1,1,True
-376,0,1,1,0,False
779,0,0,1,0,True
3835,10,0,1,1,True
3726,6,0,1,0,True
330,-1,1,0,0,True
-1345,-1,1,0,0,False
1224,4,0,1,1,True
784,0,1,0,0,False
1573,2,0,1,1,False
879,2,0,0,1,False
2653,8,0,1,1,True
-1445,-4,1,0,1,True
679,1,0,1,0,True
-753,-1,0,1,0,False
-2023,-6,0,1,1,True
1985,6,0,0,0,True
1890,3,1,1,1,True
58,2,1,0,0,True
1050,2,1,0,0,True
2221,6,1,1,1,True
533,3,1,0,1,False
276,1,1,0,0,False
2039,6,0,0,1,True
-169,-1,0,1,0,True
-344,1,1,1,0,True
-1302,-2,1,1,0,False
-3372,-6,1,0,0,False
-623,-1,0,0,0,False
2112,5,0,1,0,False
-1044,-4,0,1,0,False
-728,-2,0,0,0,True
1572,2,0,1,0,True
3663,9,0,0,1,False
5134,7,0,0,0,True
1515,4,0,1,0,True
764,2,1,0,0,True
66,-3,0,0,0,True
2673,5,0,1,1,True
2243,3,1,1,0,False
134,0,0,0,1,True
-1546,-6,1,1,0,False
2312,3,0,0,1,True
4523,6,0,1,1,True
-2342,-8,1,0,0,True
2626,4,1,0,0,False
-451,-4,0,1,1,True
3,2,0,1,0,False
4707,6,0,1,1,True
-583,-2,1,0,0,False
1169,0,0,1,1,False
-583,1,1,1,0,False
5295,8,0,0,1,True
7242,12,0,1,1,True
-1050,-3,1,1,0,False
858,0,0,1,1,True
2635,10,0,1,1,True
-4079,-5,1,0,0,False
3330,6,0,1,1,True
881,0,0,1,0,True
-1010,-1,1,1,0,False
995,-1,0,1,1,True
1626,1,0,1,1,True
2075,2,0,1,1,False
-190,-1,0,0,1,True
-1710,-5,0,0,1,True
-2700,-7,1,0,0,False
-1284,-2,1,1,1,True
782,4,0,0,0,True
857,4,1,1,0,False
-379,-2,1,1,0,True
-4535,-6,1,1,0,False
1640,0,0,1,1,True
5994,10,0,1,0,True
-767,-3,1,0,0,False
-2110,-2,0,1,0,True
2258,6,0,0,0,True
-2715,0,1,0,1,True
2395,5,1,1,1,True
2043,3,0,1,1,True
2277,7,0,1,1,True
349,0,1,1,1,True
336,2,0,0,0,True
5354,10,0,0,0,True
1336,4,0,0,1,True
-92,-1,1,0,1,True
2833,5,0,0,0,True
1944,5,0,1,1,False
-2640,-4,1,0,0,False
1181,3,0,0,1,True
1068,5,0,1,1,True
-18,0,0,1,0,True
1557,3,0,1,1,True
3880,9,0,1,1,True
2189,4,0,1,1,True
-1506,-2,0,0,0,True
-1619,-1,1,1,0,True
749,1,0,1,0,True
53,1,0,0,1,False
-1402,-3,1,1,1,True
-2400,-7,1,0,0,False
-16,-1,0,0,0,True
437,1,1,1,0,True
6828,9,0,1,1,True
4075,9,0,1,1,True
251,4,1,1,0,False
861,2,0,0,0,True
2286,2,0,1,1,True
-66,-2,0,1,1,True
1220,1,0,1,0,True
3829,4,0,0,0,True
-2321,-4,1,0,1,True
-215,1,1,0,0,False
3086,7,0,1,1,True
4223,8,0,1,0,True
2651,5,0,1,0,True
1868,0,0,1,1,True
-140,1,0,1,0,False
2201,4,0,1,1,True
-1968,-2,1,0,0,False
601,2,0,1,1,True
758,2,0,0,1,True
968,1,0,0,0,False
3298,6,0,1,1,True
-1236,-7,0,1,0,False
-1532,-2,1,0,0,False
-1442,-3,1,1,0,False
-3701,-6,1,0,0,False
233,-2,0,1,0,False
-2239,-5,1,0,0,False
792,2,1,0,0,False
1133,2,0,0,1,True
-1179,0,1,0,1,True
69,0,1,1,1,False
2131,6,0,1,1,True
354,0,0,0,0,False
-475,-3,1,0,1,False
-1865,-3,1,0,0,True
1891,6,0,1,1,False
-600,2,0,1,1,True
899,7,0,0,1,True
-3219,-8,0,0,0,False
1234,1,0,1,1,True
18,0,0,1,1,True
7102,12,0,1,1,True
2132,3,0,1,1,True
240,2,0,1,1,True
2352,6,0,0,1,True
-937,-1,1,1,0,False
-3409,-5,1,1,0,False
1792,5,0,1,1,True
3405,6,0,1,0,True
-597,-4,0,0,1,False
1410,1,0,1,1,True
1546,3,0,1,1,True
-3084,-4,1,0,0,False
-1150,-4,1,0,1,True
329,-1,0,0,0,True
378,2,0,1,0,True
-987,-2,1,1,0,True
-1134,-1,1,1,0,True
423,0,0,1,1,True
-998,0,0,0,1,True
-967,-3,1,0,1,False
647,-5,0,1,0,False
2705,1,0,1,1,True
-662,0,0,1,1,True
3038,6,0,0,1,True
-611,-1,1,0,0,True
-867,-2,0,1,0,False
1403,0,0,1,1,True
56,2,0,1,0,False
-2467,-6,1,0,1,False
-142,3,1,0,0,False
2942,6,0,1,0,True
2542,5,0,1,1,True
-636,-1,0,1,0,True
4021,8,0,1,1,True
1026,2,0,0,0,True
1843,6,0,0,1,True
-1202,-2,1,0,0,False
105,1,1,1,0,True
918,0,0,1,0,False
2845,7,0,0,1,True
-2622,-7,1,0,0,True
14,-1,0,0,1,True
2258,2,0,1,1,True
-1836,-7,1,0,1,True
843,2,0,0,0,True
781,2,1,1,0,True
-1375,-2,1,0,0,False
-583,-1,1,0,0,False
3492,7,0,1,1,True
1430,2,0,0,1,True
1015,0,0,1,1,True
249,1,0,1,1,True
59,0,0,1,0,True
-1446,-1,0,0,1,True
1084,3,1,1,0,False
226,0,1,1,0,False
875,5,0,1,1,False
561,-2,1,1,0,True
4179,4,0,1,1,True
3843,8,0,1,0,True
4353,8,0,1,0,True
-375,-5,1,0,0,False
1726,4,0,1,1,True
-2664,-7,1,1,1,True
3848,3,0,1,1,True
-386,1,0,0,1,True
254,1,0,0,1,False
1155,4,0,1,0,True
-3654,-9,1,1,0,False
-485,0,1,0,1,False
-1685,-3,1,1,0,True
-1784,-3,1,0,0,True
1728,2,0,1,1,True
-3538,-6,1,0,0,False
-125,-2,1,0,0,False
1603,4,0,1,1,True
2779,5,1,1,1,True
3616,6,0,1,0,True
1402,5,1,1,1,True
1907,5,1,1,1,False
-543,-4,0,0,0,True
701,0,0,1,1,True
-1080,3,1,0,0,True
-1947,-2,1,0,0,False
3122,6,0,1,0,True
-454,-2,0,1,1,True
1305,4,0,0,0,True
-1466,-5,1,0,0,False
-644,-3,0,0,0,False
-984,-2,1,0,1,False
35,-1,1,0,1,False
422,3,0,0,0,True
-2567,-6,1,0,0,True
-4467,-7,1,0,0,False
1813,3,0,0,0,False
3759,8,0,1,0,False
1361,3,0,1,0,True
4131,4,0,1,0,True
2980,9,0,1,1,True
-813,-1,1,1,0,False
-2391,-6,1,0,0,False
2238,6,0,1,0,True
2588,6,0,1,0,True
1853,5,1,1,0,True
-3204,-6,1,0,0,True
1567,6,0,0,1,True
-2668,-2,1,0,1,True
-531,-4,0,1,1,False
2090,4,0,1,1,True
-1210,0,1,0,0,False
884,0,0,0,0,False
1226,6,0,1,1,True
