match_id,my_team,team1_gold,team2_gold,gold_diff,gold_leading_team,my_team_ahead_gold,team1_kills,team2_kills,kill_diff,kill_leading_team,my_team_ahead_kills,my_team_win,winner
LA1_1718182641,100,16050,22681,-6631,200,False,4,12,-8,200,False,False,200
LA1_1718721128,100,17931,18475,-544,200,False,8,8,0,0,False,False,200
LA1_1718311088,100,19759,16175,3584,100,False,11,4,7,100,True,True,100
LA1_1718204739,200,15979,22119,6140,200,False,4,15,11,200,False,True,200
LA1_1718179044,200,19195,17584,-1611,100,False,9,7,-2,100,True,True,200
LA1_1718683466,100,18132,17147,985,100,False,8,5,3,100,True,True,100
LA1_1718695632,100,18277,19668,-1391,200,False,7,10,-3,200,False,False,200
LA1_1718691051,200,15768,21178,5410,200,False,3,13,10,200,False,True,200
LA1_1718673017,200,18401,20061,1660,200,False,8,10,2,200,False,False,100
LA1_1718404558,100,16659,17571,-912,200,False,4,5,-1,200,False,False,200
LA1_1718570141,200,19831,18983,-848,100,False,12,9,-3,100,True,False,100
LA1_1718676535,200,18217,18870,653,200,False,10,11,1,200,False,False,100
LA1_1718559245,200,20125,16439,-3686,100,False,13,4,-9,100,True,False,100
LA1_1718409852,200,16401,20465,4064,200,False,5,12,7,200,False,True,200
LA1_1718582775,200,16008,18156,2148,200,False,3,8,5,200,False,True,200
LA1_1718650456,100,16391,17796,-1405,200,False,5,5,0,0,False,True,100
LA1_1718434963,100,17877,19042,-1165,200,False,6,7,-1,200,False,False,200
LA1_1718392663,200,16755,18946,2191,200,False,5,9,4,200,False,False,100
LA1_1718659021,200,18850,18101,-749,100,False,9,7,-2,100,True,True,200
LA1_1718555257,200,16782,19265,2483,200,False,5,7,2,200,False,True,200
LA1_1718420910,100,17535,16439,1096,100,False,7,7,0,0,False,True,100
LA1_1718395385,200,16663,18900,2237,200,False,7,12,5,200,False,True,200
LA1_1718648595,100,18439,16616,1823,100,False,8,5,3,100,True,True,100
LA1_1718429938,100,17279,15253,2026,100,False,4,2,2,100,True,True,100
LA1_1718652997,100,17059,16965,94,100,False,7,6,1,100,True,True,100
LA1_1718909601,100,17325,20227,-2902,200,False,6,12,-6,200,False,False,200
LA1_1718902174,200,16675,17760,1085,200,False,5,6,1,200,False,True,200
LA1_1718914878,100,17145,18369,-1224,200,False,5,9,-4,200,False,False,200
LA1_1718923374,200,16724,16416,-308,100,False,4,2,-2,100,True,True,200
LA1_1718857459,200,20759,15784,-4975,100,False,16,4,-12,100,True,False,100
LA1_1718921191,100,18675,19168,-493,200,False,10,12,-2,200,False,False,200
LA1_1718894776,200,17773,22737,4964,200,False,8,17,9,200,False,True,200
LA1_1718887568,100,19660,18981,679,100,False,8,7,1,100,True,False,200
LA1_1718870330,200,14203,18484,4281,200,False,0,6,6,200,False,True,200
LA1_1718881311,100,20103,16154,3949,100,False,12,4,8,100,True,True,100
LA1_1718842682,100,19043,17772,1271,100,False,7,6,1,100,True,False,200
LA1_1718478256,100,16569,19339,-2770,200,False,4,8,-4,200,False,False,200
LA1_1718514093,100,16661,17774,-1113,200,False,5,4,1,100,True,True,100
LA1_1718487024,200,19681,15917,-3764,100,False,11,3,-8,100,True,False,100
LA1_1718651761,200,17088,18517,1429,200,False,5,9,4,200,False,False,100
